geoid,name,state,county,county_name,tract,population_acs5_2020,population_moe_acs5_2020,median_household_income_acs5_2020,median_household_income_moe_acs5_2020,incidents_2020,eligible_for_income_analysis,incidents_per_100k_2020
36005007400,"Census Tract 0074.00, Bronx County, New York",36,5,Bronx,7400,3494,600,40625,21909,1,True,28.620492272467082
36005007500,"Census Tract 0075.00, Bronx County, New York",36,5,Bronx,7500,6345,867,27530,8844,5,True,78.80220646178094
36005007600,"Census Tract 0076.00, Bronx County, New York",36,5,Bronx,7600,5136,769,49494,12410,2,True,38.940809968847354
36005007700,"Census Tract 0077.00, Bronx County, New York",36,5,Bronx,7700,2037,496,48177,13018,1,True,49.09180166912125
36005007800,"Census Tract 0078.00, Bronx County, New York",36,5,Bronx,7800,7160,1025,61795,23612,1,True,13.966480446927374
36005007900,"Census Tract 0079.00, Bronx County, New York",36,5,Bronx,7900,6795,1067,31083,7336,3,True,44.150110375275936
36005008300,"Census Tract 0083.00, Bronx County, New York",36,5,Bronx,8300,5948,1014,39845,5137,3,True,50.43712172158709
36005008400,"Census Tract 0084.00, Bronx County, New York",36,5,Bronx,8400,3017,505,62885,23642,0,True,0.0
36005008500,"Census Tract 0085.00, Bronx County, New York",36,5,Bronx,8500,5416,728,28937,5705,1,True,18.463810930576074
36005008600,"Census Tract 0086.00, Bronx County, New York",36,5,Bronx,8600,3757,824,21063,5422,0,True,0.0
36005008700,"Census Tract 0087.00, Bronx County, New York",36,5,Bronx,8700,6230,798,24510,10065,0,True,0.0
36005008900,"Census Tract 0089.00, Bronx County, New York",36,5,Bronx,8900,2998,450,24836,11748,2,True,66.71114076050699
36005009000,"Census Tract 0090.00, Bronx County, New York",36,5,Bronx,9000,3574,613,29028,6786,0,True,0.0
36005009200,"Census Tract 0092.00, Bronx County, New York",36,5,Bronx,9200,6005,792,48326,11015,0,True,0.0
36005009301,"Census Tract 0093.01, Bronx County, New York",36,5,Bronx,9301,5343,958,39093,4562,0,True,0.0
36005009302,"Census Tract 0093.02, Bronx County, New York",36,5,Bronx,9302,579,201,-666666666,-222222222,2,False,345.42314335060445
36005009600,"Census Tract 0096.00, Bronx County, New York",36,5,Bronx,9600,2794,434,52016,9648,0,True,0.0
36005009800,"Census Tract 0098.00, Bronx County, New York",36,5,Bronx,9800,5019,885,66875,19203,3,True,59.77286312014345
36005011000,"Census Tract 0110.00, Bronx County, New York",36,5,Bronx,11000,0,12,-666666666,-222222222,0,False,
36005011502,"Census Tract 0115.02, Bronx County, New York",36,5,Bronx,11502,4297,968,21375,7402,5,True,116.36025133814289
36005011701,"Census Tract 0117.01, Bronx County, New York",36,5,Bronx,11701,1360,399,35278,25429,1,True,73.52941176470588
36005011702,"Census Tract 0117.02, Bronx County, New York",36,5,Bronx,11702,0,12,-666666666,-222222222,0,False,
36005011800,"Census Tract 0118.00, Bronx County, New York",36,5,Bronx,11800,5645,700,82266,24146,0,True,0.0
36005011900,"Census Tract 0119.00, Bronx County, New York",36,5,Bronx,11900,5399,1160,30417,5132,2,True,37.04389701796629
36005012101,"Census Tract 0121.01, Bronx County, New York",36,5,Bronx,12101,3072,463,43472,9464,1,True,32.55208333333333
36005012102,"Census Tract 0121.02, Bronx County, New York",36,5,Bronx,12102,1338,261,23750,4610,1,True,74.73841554559044
36005012300,"Census Tract 0123.00, Bronx County, New York",36,5,Bronx,12300,4371,988,36375,7900,0,True,0.0
36005012500,"Census Tract 0125.00, Bronx County, New York",36,5,Bronx,12500,3859,539,36947,10068,0,True,0.0
36005012701,"Census Tract 0127.01, Bronx County, New York",36,5,Bronx,12701,2046,485,38000,13393,3,True,146.6275659824047
36005012901,"Census Tract 0129.01, Bronx County, New York",36,5,Bronx,12901,4677,762,29297,7519,2,True,42.762454564892025
36005013000,"Census Tract 0130.00, Bronx County, New York",36,5,Bronx,13000,1462,416,78125,50223,0,True,0.0
36005013100,"Census Tract 0131.00, Bronx County, New York",36,5,Bronx,13100,5221,665,26620,13731,2,True,38.30683777054204
36005013200,"Census Tract 0132.00, Bronx County, New York",36,5,Bronx,13200,7367,1033,125486,31392,0,True,0.0
36005013300,"Census Tract 0133.00, Bronx County, New York",36,5,Bronx,13300,5785,1125,41675,16600,6,True,103.71650821089024
36005013500,"Census Tract 0135.00, Bronx County, New York",36,5,Bronx,13500,3633,669,26074,12331,2,True,55.05092210294522
36005013800,"Census Tract 0138.00, Bronx County, New York",36,5,Bronx,13800,2853,451,68466,12014,0,True,0.0
36005014100,"Census Tract 0141.00, Bronx County, New York",36,5,Bronx,14100,5752,746,29663,7110,0,True,0.0
36005014300,"Census Tract 0143.00, Bronx County, New York",36,5,Bronx,14300,1647,329,21125,8620,0,True,0.0
36005014400,"Census Tract 0144.00, Bronx County, New York",36,5,Bronx,14400,5479,1127,18552,7514,1,True,18.25150574922431
36005014500,"Census Tract 0145.00, Bronx County, New York",36,5,Bronx,14500,7112,1355,35145,6866,2,True,28.121484814398205
36005014701,"Census Tract 0147.01, Bronx County, New York",36,5,Bronx,14701,6162,1273,27625,12187,1,True,16.22849724115547
36005014702,"Census Tract 0147.02, Bronx County, New York",36,5,Bronx,14702,5274,934,30653,18651,1,True,18.960940462646946
