weekday_number,weekday,fatal_incidents,share_of_fatal_incidents
0,Monday,642,0.13899112361983113
1,Tuesday,534,0.11560943927256982
2,Wednesday,571,0.12361983113227971
3,Thursday,527,0.11409395973154363
4,Friday,628,0.13596016453777873
5,Saturday,832,0.18012556830482787
6,Sunday,885,0.19159991340116908
