income_quartile,tracts,population_acs5_2020,incidents_2020,median_tract_income,incidents_per_100k_2020,rate_lower_95,rate_upper_95
Q1 lowest,552,2348956,839,36985.0,35.71799556909538,33.301076156249664,38.134914981941094
Q2,552,2057056,323,60188.0,15.702051864412052,13.989628212309318,17.414475516514784
Q3,550,1819631,234,80147.5,12.859750136153979,11.212040532397745,14.507459739910212
Q4 highest,552,2108317,99,112031.0,4.695688551579293,3.7706970172279717,5.620680085930615
