universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
CCC-recorded NYC political crowd days,2017-06-07,Political crowd day,1,2,4,3.0,-1.0
CCC-recorded NYC political crowd days,2017-06-09,Political crowd day,1,4,4,3.25,0.75
CCC-recorded NYC political crowd days,2017-06-10,Political crowd day,1,2,5,4.8,-2.8
CCC-recorded NYC political crowd days,2017-06-12,Political crowd day,1,0,8,1.5,-1.5
CCC-recorded NYC political crowd days,2017-06-14,Political crowd day,1,2,4,3.0,-1.0
CCC-recorded NYC political crowd days,2017-06-15,Political crowd day,1,0,5,2.2,-2.2
CCC-recorded NYC political crowd days,2017-06-16,Political crowd day,1,4,3,4.0,0.0
CCC-recorded NYC political crowd days,2017-06-17,Political crowd day,1,5,4,5.75,-0.75
CCC-recorded NYC political crowd days,2017-06-20,Political crowd day,1,2,5,1.0,1.0
CCC-recorded NYC political crowd days,2017-06-21,Political crowd day,1,4,4,3.75,0.25
CCC-recorded NYC political crowd days,2017-06-25,Political crowd day,1,4,6,4.166666666666667,-0.16666666666666696
CCC-recorded NYC political crowd days,2017-06-28,Political crowd day,1,1,4,3.75,-2.75
CCC-recorded NYC political crowd days,2017-07-02,Political crowd day,1,4,6,4.0,0.0
CCC-recorded NYC political crowd days,2017-07-04,Political crowd day,1,2,4,1.5,0.5
CCC-recorded NYC political crowd days,2017-07-06,Political crowd day,1,0,6,2.3333333333333335,-2.3333333333333335
CCC-recorded NYC political crowd days,2017-07-07,Political crowd day,1,4,4,3.5,0.5
CCC-recorded NYC political crowd days,2017-07-11,Political crowd day,1,2,3,1.6666666666666667,0.33333333333333326
CCC-recorded NYC political crowd days,2017-07-14,Political crowd day,1,4,5,2.8,1.2000000000000002
CCC-recorded NYC political crowd days,2017-07-15,Political crowd day,1,1,6,3.1666666666666665,-2.1666666666666665
CCC-recorded NYC political crowd days,2017-07-17,Political crowd day,1,2,6,1.6666666666666667,0.33333333333333326
CCC-recorded NYC political crowd days,2017-07-18,Political crowd day,1,1,2,1.5,-0.5
CCC-recorded NYC political crowd days,2017-07-26,Political crowd day,1,1,5,2.6,-1.6
CCC-recorded NYC political crowd days,2017-07-27,Political crowd day,1,2,5,2.4,-0.3999999999999999
CCC-recorded NYC political crowd days,2017-08-01,Political crowd day,1,1,2,3.0,-2.0
CCC-recorded NYC political crowd days,2017-08-02,Political crowd day,1,1,5,2.6,-1.6
CCC-recorded NYC political crowd days,2017-08-04,Political crowd day,1,5,4,1.75,3.25
CCC-recorded NYC political crowd days,2017-08-07,Political crowd day,1,2,4,2.0,0.0
CCC-recorded NYC political crowd days,2017-08-08,Political crowd day,1,2,2,3.0,-1.0
CCC-recorded NYC political crowd days,2017-08-10,Political crowd day,1,3,6,2.1666666666666665,0.8333333333333335
CCC-recorded NYC political crowd days,2017-08-12,Political crowd day,1,1,4,1.75,-0.75
CCC-recorded NYC political crowd days,2017-08-13,Political crowd day,1,2,7,4.714285714285714,-2.7142857142857144
CCC-recorded NYC political crowd days,2017-08-14,Political crowd day,1,4,3,2.3333333333333335,1.6666666666666665
CCC-recorded NYC political crowd days,2017-08-15,Political crowd day,1,4,3,2.0,2.0
CCC-recorded NYC political crowd days,2017-08-18,Political crowd day,1,7,6,1.5,5.5
CCC-recorded NYC political crowd days,2017-08-19,Political crowd day,1,3,4,1.75,1.25
CCC-recorded NYC political crowd days,2017-08-23,Political crowd day,1,0,5,1.6,-1.6
CCC-recorded NYC political crowd days,2017-08-24,Political crowd day,1,2,6,1.8333333333333333,0.16666666666666674
CCC-recorded NYC political crowd days,2017-08-25,Political crowd day,1,2,6,1.1666666666666667,0.8333333333333333
CCC-recorded NYC political crowd days,2017-08-26,Political crowd day,1,2,4,1.5,0.5
CCC-recorded NYC political crowd days,2017-08-27,Political crowd day,1,4,7,4.857142857142857,-0.8571428571428568
CCC-recorded NYC political crowd days,2017-08-28,Political crowd day,1,1,2,3.0,-2.0
CCC-recorded NYC political crowd days,2017-08-29,Political crowd day,1,2,3,2.6666666666666665,-0.6666666666666665
CCC-recorded NYC political crowd days,2017-08-30,Political crowd day,1,4,6,1.5,2.5
CCC-recorded NYC political crowd days,2017-09-04,Political crowd day,1,6,1,4.0,2.0
CCC-recorded NYC political crowd days,2017-09-05,Political crowd day,1,7,4,2.25,4.75
CCC-recorded NYC political crowd days,2017-09-09,Political crowd day,1,5,3,1.0,4.0
