origin,model,horizon_days,mae,rmse,mean_error
2018-03-31,dynamic_count_ensemble,14,0.9562441483589491,1.1767771079390548,0.13598257724866386
2018-03-31,dynamic_count_ensemble,28,0.9773171631458976,1.1849439539808362,-0.05857252215963787
2018-03-31,rolling_mean_28,14,1.0204081632653061,1.1866605518454392,0.14285714285714274
2018-03-31,rolling_mean_28,28,0.9693877551020409,1.1428571428571428,-0.0714285714285715
2018-06-30,dynamic_count_ensemble,14,1.6990379284160557,2.7489712271599864,-0.49065549832217903
2018-06-30,dynamic_count_ensemble,28,1.5705450730464707,2.29767202116698,-0.3655562366498513
2018-06-30,rolling_mean_28,14,1.6734693877551021,2.7152254012497448,-0.4999999999999996
2018-06-30,rolling_mean_28,28,1.6224489795918366,2.324448585038997,-0.35714285714285693
2018-09-30,dynamic_count_ensemble,14,1.5031003594596783,1.990353764509034,-0.2210701932391455
2018-09-30,dynamic_count_ensemble,28,1.3713139515197512,1.7745692195112581,0.1586663663343433
2018-09-30,rolling_mean_28,14,1.4999999999999998,1.9192898346492007,-0.0714285714285715
2018-09-30,rolling_mean_28,28,1.413265306122449,1.7481768929314883,0.3214285714285713
2019-03-31,dynamic_count_ensemble,14,1.365544995924563,1.7896130279497005,-0.3004630317661423
2019-03-31,dynamic_count_ensemble,28,1.4102860872915002,1.8651280803584056,-0.25335503198781345
2019-03-31,rolling_mean_28,14,1.4387755102040818,1.8965597210502505,-0.21428571428571416
2019-03-31,rolling_mean_28,28,1.4030612244897962,1.8667334779102829,-0.17857142857142844
2019-06-30,dynamic_count_ensemble,14,1.8180244793314309,2.8526848202879393,-0.2888154168425749
2019-06-30,dynamic_count_ensemble,28,1.6256862638280263,2.4232483592423844,-0.12519660287105402
2019-06-30,rolling_mean_28,14,1.9081632653061225,2.8979232535858275,-0.21428571428571416
2019-06-30,rolling_mean_28,28,1.7295918367346939,2.4836198072448155,-0.03571428571428559
2019-09-30,dynamic_count_ensemble,14,1.0709828295272732,1.328871779272578,-0.18988762587158886
2019-09-30,dynamic_count_ensemble,28,1.1388640431957604,1.3271841591591353,0.004651384832803014
2019-09-30,rolling_mean_28,14,1.0918367346938775,1.379514851130569,-0.1428571428571427
2019-09-30,rolling_mean_28,28,1.163265306122449,1.3646409410387716,0.07142857142857159
2020-03-31,dynamic_count_ensemble,14,1.3694612910096438,1.6159829914526374,-0.24823960026049052
2020-03-31,dynamic_count_ensemble,28,1.22813385661575,1.4237100133269198,-0.019135547288808563
2020-03-31,rolling_mean_28,14,1.2857142857142858,1.5649215928719034,-0.14285714285714282
2020-03-31,rolling_mean_28,28,1.2040816326530612,1.4249955245185717,0.0714285714285715
2020-06-30,dynamic_count_ensemble,14,4.091875420831962,7.095179359525043,-2.869020836398375
2020-06-30,dynamic_count_ensemble,28,3.140959937721608,5.4747614843634445,-1.8520615388087385
2020-06-30,rolling_mean_28,14,4.326530612244897,7.184166263245805,-2.714285714285714
2020-06-30,rolling_mean_28,28,3.2908163265306123,5.556298136312686,-1.6071428571428565
2020-09-30,dynamic_count_ensemble,14,1.5281956429302148,1.971527697142666,0.557333574515799
2020-09-30,dynamic_count_ensemble,28,1.771912167888148,2.2416513154731246,-0.24558869391328722
2020-09-30,rolling_mean_28,14,1.8469387755102045,2.178278668853844,0.928571428571429
2020-09-30,rolling_mean_28,28,1.836734693877551,2.1899585309651273,0.2142857142857144
2021-03-31,dynamic_count_ensemble,14,1.5577753496503404,2.2406528298129453,-1.0806902609647089
2021-03-31,dynamic_count_ensemble,28,2.1796509661979893,3.226739403503561,-1.8386130329402859
2021-03-31,rolling_mean_28,14,1.4387755102040813,2.0971311794147427,-0.7857142857142863
2021-03-31,rolling_mean_28,28,2.045918367346939,3.1061164150227,-1.535714285714286
2021-06-30,dynamic_count_ensemble,14,1.5314455919977188,2.190734580577271,-0.1308522472464976
2021-06-30,dynamic_count_ensemble,28,1.7363427965644214,2.2101355257759185,0.4504760200583357
2021-06-30,rolling_mean_28,14,1.7908163265306125,2.4087955327024635,0.03571428571428597
2021-06-30,rolling_mean_28,28,1.9693877551020411,2.414613249126482,0.7142857142857145
2021-09-30,dynamic_count_ensemble,14,1.9944273086869038,2.3005050303600534,-0.13327501602556824
2021-09-30,dynamic_count_ensemble,28,1.6352110438488714,1.9805400603397136,0.0173779020502958
2021-09-30,rolling_mean_28,14,2.0714285714285716,2.3617379453379197,0.2499999999999996
2021-09-30,rolling_mean_28,28,1.7295918367346936,2.065570534417322,0.464285714285714
