month,fatal_incidents,month_name,share_of_fatal_incidents
1,295,January,0.06386663780038969
2,260,February,0.056289240095258715
3,302,March,0.06538211734141589
4,368,April,0.07967092444252002
5,430,May,0.09309374323446633
6,437,June,0.09460922277549252
7,495,July,0.10716605325828102
8,466,August,0.10088763801688677
9,467,September,0.10110413509417623
10,393,October,0.08508335137475644
11,323,November,0.06992855596449447
12,383,December,0.08291838060186188
