temperature_bin,reference_bin,days,incidents,raw_incidents_per_day,adjusted_incidence_rate_ratio,lower_95,upper_95
Below 0,False,607,1335,2.199341021416804,0.5498416476694126,0.5007663189087124,0.603726381140516
0 to <5,False,981,2309,2.3537206931702346,0.6011049015139668,0.5563048662438562,0.6495127484031893
5 to <10,False,1151,3040,2.6411815812337096,0.6765983502759674,0.6308036375509515,0.7257176407122163
10 to <15,False,1102,3206,2.9092558983666064,0.766648229864963,0.7250434601649248,0.8106403831590816
15 to <20,True,1162,4114,3.540447504302926,1.0,1.0,1.0
20 to <25,False,1371,5712,4.166301969365427,1.2153246807136213,1.1511447300029365,1.2830828661726126
25 or above,False,931,4272,4.588614393125671,1.3608359993613903,1.2684275633804079,1.459976644013157
