month,month_name,incidents,calendar_days,incidents_per_calendar_day
1,January,1558,620,2.5129032258064514
2,February,1213,565,2.1469026548672567
3,March,1525,620,2.4596774193548385
4,April,1784,600,2.973333333333333
5,May,2196,620,3.541935483870968
6,June,2496,600,4.16
7,July,2778,620,4.480645161290322
8,August,2699,620,4.353225806451613
9,September,2248,600,3.7466666666666666
10,October,1994,620,3.2161290322580647
11,November,1723,600,2.8716666666666666
12,December,1774,620,2.861290322580645
