origin,model,horizon_days,mae,rmse,mean_error,interval_80_coverage
2022-03-31,autoregressive_log_ridge,14,1.9883104907128726,2.6623791506461756,-1.0205854170549447,
2022-03-31,autoregressive_log_ridge,28,1.7556041098877557,2.3469235647135305,-0.9530144305759081,
2022-03-31,day_of_week_mean_365,14,2.287321169396641,2.701211568200956,0.6664420485175204,
2022-03-31,day_of_week_mean_365,28,2.0400684221438943,2.4068637771162362,0.7735849056603775,
2022-03-31,dynamic_count_ensemble,14,1.8492400698533693,2.478515709728711,-0.14803880524774812,0.8571428571428571
2022-03-31,dynamic_count_ensemble,28,1.6402076264578045,2.1674181005493875,-0.05078891577084615,0.8928571428571429
2022-03-31,poisson_calendar,14,1.8223866491532108,2.4963878033015763,-0.654567608397989,
2022-03-31,poisson_calendar,28,1.6226631456375915,2.1857850654075284,-0.3557012570674441,
2022-03-31,prophet,14,2.0850507655283805,2.5346580532190535,0.7031243435056937,0.7142857142857143
2022-03-31,prophet,28,2.061118535929125,2.4125220739173874,1.0018594505705845,0.6428571428571429
2022-03-31,rolling_mean_28,14,1.8367346938775508,2.3776167110133195,0.14285714285714304,
2022-03-31,rolling_mean_28,28,1.6581632653061225,2.1249249686633593,0.25000000000000017,
2022-03-31,seasonal_naive_7,14,2.857142857142857,3.359421718944242,-0.7142857142857143,
2022-03-31,seasonal_naive_7,28,2.392857142857143,2.8722813232690143,-0.6071428571428571,
2022-06-30,autoregressive_log_ridge,14,3.289750980840148,4.160977387636365,-2.9945142789404513,
2022-06-30,autoregressive_log_ridge,28,2.716336456178594,3.5236866388237846,-2.5254317695294612,
2022-06-30,day_of_week_mean_365,14,2.931318681318681,3.888682466756677,-2.426031515654157,
2022-06-30,day_of_week_mean_365,28,2.3336875388762173,3.1270173319033936,-1.7474600870827286,
2022-06-30,dynamic_count_ensemble,14,2.8514559253365355,3.815324189757312,-2.3826320710799815,0.7857142857142857
2022-06-30,dynamic_count_ensemble,28,2.3031126034504914,3.1006861728939548,-1.7564328722986626,0.8571428571428571
2022-06-30,poisson_calendar,14,2.1964634624409176,3.293938065698655,-1.131616348077463,
2022-06-30,poisson_calendar,28,1.8225245129532257,2.6807523646125873,-0.3442541148035173,
2022-06-30,prophet,14,2.041239655187231,2.6526093939264768,0.06087966745566024,0.7142857142857143
2022-06-30,prophet,28,1.7938478082038516,2.3635365263451606,0.4126846313349918,0.75
2022-06-30,rolling_mean_28,14,2.6785714285714284,3.721318890623899,-2.1785714285714284,
2022-06-30,rolling_mean_28,28,2.2142857142857144,3.025191847517396,-1.5,
2022-06-30,seasonal_naive_7,14,2.857142857142857,4.191828786034631,-2.142857142857143,
2022-06-30,seasonal_naive_7,28,2.4642857142857144,3.5807022455697948,-1.4642857142857142,
2022-09-30,autoregressive_log_ridge,14,1.8229476948024501,2.1662757210030232,-0.23330597934551234,
2022-09-30,autoregressive_log_ridge,28,1.419269804762063,1.7809281725488317,-0.1623922630886514,
2022-09-30,day_of_week_mean_365,14,2.043956043956044,2.329615070417573,0.9346361185983828,
2022-09-30,day_of_week_mean_365,28,1.867043334024466,2.146603528381616,1.1846361185983827,
2022-09-30,dynamic_count_ensemble,14,1.9098997232186565,2.157804968804671,0.6381747697945714,0.8571428571428571
2022-09-30,dynamic_count_ensemble,28,1.6796629794715578,1.9257028623025128,0.8434031988587866,0.9285714285714286
2022-09-30,poisson_calendar,14,2.073989336719946,2.3443966297150904,0.9499251767185586,
2022-09-30,poisson_calendar,28,1.851173806330705,2.119263795655235,1.123986766522934,
2022-09-30,prophet,14,2.33359425745488,2.8357988427509557,1.894316836684957,0.5
2022-09-30,prophet,28,2.2922220077378506,2.7244352098428806,2.0457547044668702,0.5
2022-09-30,rolling_mean_28,14,1.8877551020408163,2.187627547301936,0.9285714285714288,
2022-09-30,rolling_mean_28,28,1.8214285714285714,2.07880460155075,1.1785714285714284,
2022-09-30,seasonal_naive_7,14,2.7857142857142856,3.4121631178560534,2.2142857142857144,
2022-09-30,seasonal_naive_7,28,2.892857142857143,3.610500558885746,2.4642857142857144,
2023-03-31,autoregressive_log_ridge,14,1.3629876520746058,1.75234564718832,-0.6251855411896893,
2023-03-31,autoregressive_log_ridge,28,1.4328517139364119,1.798711662095304,-0.18406385799303834,
2023-03-31,day_of_week_mean_365,14,1.3956043956043958,1.7575910334650793,0.5054426705370102,
2023-03-31,day_of_week_mean_365,28,1.6689301264772962,1.979228433450092,0.9340140991084388,
2023-03-31,dynamic_count_ensemble,14,1.3243755502222836,1.6629168007625428,-0.18272896505935057,0.9285714285714286
2023-03-31,dynamic_count_ensemble,28,1.4750590745091234,1.7918831074247628,0.2489800271683836,0.9642857142857143
2023-03-31,poisson_calendar,14,1.3092626335915987,1.6711480114100652,0.4899283918405259,
2023-03-31,poisson_calendar,28,1.8099898306309474,2.1724792780625086,1.1219636553244787,
2023-03-31,prophet,14,1.5152164626497187,1.8143701611648284,0.9011712690495693,0.7857142857142857
2023-03-31,prophet,28,2.0280803855958918,2.405674131371347,1.5133911624870584,0.6785714285714286
2023-03-31,rolling_mean_28,14,1.4285714285714286,1.6846394878672506,-0.035714285714285525,
2023-03-31,rolling_mean_28,28,1.6045918367346936,1.8820445894650568,0.39285714285714307,
2023-03-31,seasonal_naive_7,14,2.142857142857143,2.6457513110645907,-0.42857142857142855,
2023-03-31,seasonal_naive_7,28,1.8571428571428572,2.4201534780139164,0.0,
2023-06-30,autoregressive_log_ridge,14,1.8068304721179076,3.3492017463801056,-1.0011338717148976,
2023-06-30,autoregressive_log_ridge,28,1.3967491404797026,2.529334622833557,-0.6136485267413023,
2023-06-30,day_of_week_mean_365,14,1.8158822309765708,3.348071639668611,-0.876425461331122,
2023-06-30,day_of_week_mean_365,28,1.372226829774,2.513593448198663,-0.340711175616836,
2023-06-30,dynamic_count_ensemble,14,1.7244141940927464,3.2194735823802345,-0.7055330354973668,0.9285714285714286
2023-06-30,dynamic_count_ensemble,28,1.3328157273694305,2.4379620999048774,-0.20687598496825363,0.9642857142857143
2023-06-30,poisson_calendar,14,3.0235867391604527,3.840740566689131,1.6549978030972379,
2023-06-30,poisson_calendar,28,3.0099780999520385,3.5607120658955465,2.3256836319204304,
2023-06-30,prophet,14,2.892642423432663,3.734116304931916,1.5252382943878076,0.6428571428571429
2023-06-30,prophet,28,2.394898991603869,3.1038679112273044,1.7004848047104388,0.6785714285714286
2023-06-30,rolling_mean_28,14,1.7704081632653061,3.1071428571428577,-0.6071428571428575,
2023-06-30,rolling_mean_28,28,1.4336734693877555,2.398713515743855,-0.07142857142857147,
2023-06-30,seasonal_naive_7,14,2.857142857142857,4.20883424647321,-0.2857142857142857,
2023-06-30,seasonal_naive_7,28,2.3214285714285716,3.4069257193462343,0.25,
2023-09-30,autoregressive_log_ridge,14,1.3449999639021277,1.634264752946826,-0.4179224503307329,
2023-09-30,autoregressive_log_ridge,28,1.2132884788121208,1.6193610965594507,-0.5121193663820583,
2023-09-30,day_of_week_mean_365,14,1.3775658303960192,1.686892282568061,0.40778561061579927,
2023-09-30,day_of_week_mean_365,28,1.2870879120879122,1.595407679628379,0.3720713249015136,
2023-09-30,dynamic_count_ensemble,14,1.2882730312844435,1.60496839428886,0.02862490137867197,0.9285714285714286
2023-09-30,dynamic_count_ensemble,28,1.1875626589651544,1.5369586125973704,-0.021710041919873708,0.9285714285714286
2023-09-30,poisson_calendar,14,1.8605955599717634,2.1622694093177093,1.433274692363931,
2023-09-30,poisson_calendar,28,1.8103119651682176,2.0742861908312653,1.352451760425908,
2023-09-30,prophet,14,1.6381863101165572,1.983862775758717,0.982613281344794,0.7142857142857143
2023-09-30,prophet,28,1.5034263172268876,1.8506243828888735,0.8402543670696908,0.7857142857142857
2023-09-30,rolling_mean_28,14,1.36734693877551,1.6401375004578618,0.17857142857142844,
2023-09-30,rolling_mean_28,28,1.298469387755102,1.5726456325931426,0.14285714285714274,
2023-09-30,seasonal_naive_7,14,1.6428571428571428,2.220038609702865,0.6428571428571429,
2023-09-30,seasonal_naive_7,28,1.6785714285714286,2.1128856368212916,0.6071428571428571,
2024-03-31,autoregressive_log_ridge,14,1.0975150439971928,1.3144440169076896,0.16585585507677786,
2024-03-31,autoregressive_log_ridge,28,0.8532507551429103,1.0791913985382833,0.25185556079109767,
2024-03-31,day_of_week_mean_365,14,1.2497408252125233,1.4835685240316905,0.6838067592784576,
2024-03-31,day_of_week_mean_365,28,1.0368287373004352,1.2727144306795122,0.6838067592784575,
2024-03-31,dynamic_count_ensemble,14,1.17693833814313,1.370270660429568,0.2283954123929408,1.0
2024-03-31,dynamic_count_ensemble,28,0.8952943708653098,1.1181233071482808,0.24989533882152076,1.0
2024-03-31,poisson_calendar,14,1.6124180105879267,1.779306179582652,1.2536675986771812,
2024-03-31,poisson_calendar,28,1.5995065272434041,1.7613963851891703,1.4201313212880318,
2024-03-31,prophet,14,0.9580993733686044,1.2217958963377529,0.11836331868283419,0.9285714285714286
2024-03-31,prophet,28,0.8137196166252839,1.0527091228047079,0.24195887787051662,0.9642857142857143
2024-03-31,rolling_mean_28,14,1.3163265306122451,1.4781572918982055,0.2500000000000002,
2024-03-31,rolling_mean_28,28,0.9744897959183675,1.212709060453546,0.25000000000000006,
2024-03-31,seasonal_naive_7,14,1.4285714285714286,1.7320508075688772,0.14285714285714285,
2024-03-31,seasonal_naive_7,28,1.2857142857142858,1.6035674514745464,0.14285714285714285,
2024-06-30,autoregressive_log_ridge,14,1.580162826748926,2.1023283777622197,-0.18062959973050383,
2024-06-30,autoregressive_log_ridge,28,1.4000906418194765,1.873091329443392,0.05789714717733174,
2024-06-30,day_of_week_mean_365,14,1.6506323864814434,2.194140139842186,-0.7532137673647105,
2024-06-30,day_of_week_mean_365,28,1.4475689404934686,1.936177523356285,-0.3960709102218535,
2024-06-30,dynamic_count_ensemble,14,1.51238674027232,2.0140375803973996,0.08811640012361173,0.9285714285714286
2024-06-30,dynamic_count_ensemble,28,1.4860659831078349,1.9033462535708492,0.41560522970771346,0.8928571428571429
2024-06-30,poisson_calendar,14,2.5568721811413893,2.981570859307673,1.9500821783254925,
2024-06-30,poisson_calendar,28,2.7075009181981584,3.105037065754863,2.37136505166389,
2024-06-30,prophet,14,1.633774548814316,1.9250658617769802,0.7391715226809417,0.7857142857142857
2024-06-30,prophet,28,1.4714477597538989,1.8640223627184538,0.7271251577908583,0.7857142857142857
2024-06-30,rolling_mean_28,14,1.4846938775510206,1.9512554828068192,0.1785714285714287,
2024-06-30,rolling_mean_28,28,1.5561224489795917,1.9262552228802574,0.5357142857142858,
2024-06-30,seasonal_naive_7,14,2.4285714285714284,2.9277002188455996,1.1428571428571428,
2024-06-30,seasonal_naive_7,28,2.5714285714285716,3.2071349029490928,1.5,
2024-09-30,autoregressive_log_ridge,14,1.3600982526865102,1.5547049281159449,0.06647931772330073,
2024-09-30,autoregressive_log_ridge,28,1.3022030397242979,1.5692165754393703,-0.41841412328200345,
2024-09-30,day_of_week_mean_365,14,1.3966929297117976,1.603681616264909,0.3280116110304789,
2024-09-30,day_of_week_mean_365,28,1.2697750362844702,1.5110787886021166,-0.10055981754094964,
2024-09-30,dynamic_count_ensemble,14,1.4968452853206724,1.7189991965339724,0.6325547119429888,0.9285714285714286
2024-09-30,dynamic_count_ensemble,28,1.320392556674502,1.5491598813306395,0.18990278026309132,0.9642857142857143
2024-09-30,poisson_calendar,14,1.706544988830233,2.0324014837382087,1.324987099039815,
2024-09-30,poisson_calendar,28,1.4433983685664944,1.7255298284767502,0.8545450006464108,
2024-09-30,prophet,14,1.2707637947515624,1.4855454870716494,-0.014424499397087771,1.0
2024-09-30,prophet,28,1.3089428674825296,1.6154026932653762,-0.563366494635399,0.9285714285714286
2024-09-30,rolling_mean_28,14,1.5663265306122451,1.8738942317635578,0.8214285714285714,
2024-09-30,rolling_mean_28,28,1.3571428571428572,1.660234185595637,0.3928571428571431,
2024-09-30,seasonal_naive_7,14,1.8571428571428572,2.2038926600773587,0.2857142857142857,
2024-09-30,seasonal_naive_7,28,1.7142857142857142,2.104417123236605,-0.14285714285714285,
2025-03-31,autoregressive_log_ridge,14,0.8946456876762863,1.0870105709480966,0.2955211592218028,
2025-03-31,autoregressive_log_ridge,28,1.2737560817120213,1.5680947285639142,-0.17838939754759503,
2025-03-31,day_of_week_mean_365,14,1.1192722371967656,1.3543444479267428,0.7868546547791831,
2025-03-31,day_of_week_mean_365,28,1.3486678415923699,1.6514971854989209,0.2154260833506117,
2025-03-31,dynamic_count_ensemble,14,0.9186104476520472,1.10950366037533,0.10043317282318255,1.0
2025-03-31,dynamic_count_ensemble,28,1.370571275743124,1.678455685398065,-0.44661589494059556,0.8571428571428571
2025-03-31,poisson_calendar,14,1.2750335599857265,1.5584083978639407,1.1619448306926083,
2025-03-31,poisson_calendar,28,1.3621534522809315,1.7028275001312005,0.7294357982873265,
2025-03-31,prophet,14,0.9014392588673096,1.086217089532757,-0.20897917156652543,1.0
2025-03-31,prophet,28,1.3081948868752964,1.6566669081010181,-0.6515929720458387,0.9285714285714286
2025-03-31,rolling_mean_28,14,1.0,1.1785714285714286,0.035714285714285775,
2025-03-31,rolling_mean_28,28,1.4413265306122451,1.7470821155192868,-0.5357142857142856,
2025-03-31,seasonal_naive_7,14,1.1428571428571428,1.4638501094227998,0.5714285714285714,
2025-03-31,seasonal_naive_7,28,1.1428571428571428,1.625686668105863,0.0,
2025-06-30,autoregressive_log_ridge,14,1.449895804681889,1.7414409214406144,-0.44860679303675266,
2025-06-30,autoregressive_log_ridge,28,1.229580875012708,1.5791202239058757,-0.41871489243804394,
2025-06-30,day_of_week_mean_365,14,1.445054945054945,1.7694257827268782,-0.4401306240928882,
2025-06-30,day_of_week_mean_365,28,1.2296806966618286,1.6024874038999608,-0.36870205266431677,
2025-06-30,dynamic_count_ensemble,14,1.4571526680450542,1.7428398559860026,-0.19251379384000947,0.8571428571428571
2025-06-30,dynamic_count_ensemble,28,1.273540984141609,1.5867070624413373,-0.13146939011890374,0.8928571428571429
2025-06-30,poisson_calendar,14,2.086242879766691,2.4060691634654487,1.7913393742008734,
2025-06-30,poisson_calendar,28,2.061471899748482,2.365373547382573,1.876177284726479,
2025-06-30,prophet,14,1.601463645331248,2.0867983524007707,0.7099993956020564,0.7857142857142857
2025-06-30,prophet,28,1.2928726704572142,1.7319048881422892,0.40880586191575957,0.8571428571428571
2025-06-30,rolling_mean_28,14,1.5000000000000002,1.800297594446937,-0.10714285714285728,
2025-06-30,rolling_mean_28,28,1.3622448979591835,1.6571582511600258,-0.035714285714285844,
2025-06-30,seasonal_naive_7,14,1.5,1.9820624179302297,0.21428571428571427,
2025-06-30,seasonal_naive_7,28,1.2857142857142858,1.8516401995451028,0.2857142857142857,
2025-09-30,autoregressive_log_ridge,14,0.7425056950955871,0.838932604390892,0.18010758529705168,
2025-09-30,autoregressive_log_ridge,28,0.9115265008779659,1.1203300863235564,0.249161685371922,
2025-09-30,day_of_week_mean_365,14,0.9093406593406594,0.9976241956161153,0.5223408666804893,
2025-09-30,day_of_week_mean_365,28,1.0879120879120878,1.281030777785737,0.6294837238233466,
2025-09-30,dynamic_count_ensemble,14,0.7680360762544886,0.8497248287054509,0.33990178590870274,1.0
2025-09-30,dynamic_count_ensemble,28,0.9442198491286548,1.1340908443428697,0.43752245378456317,1.0
2025-09-30,poisson_calendar,14,1.354662634038952,1.533780230455337,1.2510653596831707,
2025-09-30,poisson_calendar,28,1.5131669346936967,1.75073912722548,1.317187058610617,
2025-09-30,prophet,14,0.850973704559212,1.0780353432913246,0.06633621449920955,1.0
2025-09-30,prophet,28,1.030670631242324,1.3206778815309057,0.07973885564976194,0.9285714285714286
2025-09-30,rolling_mean_28,14,0.7091836734693876,0.8276164447326048,0.3928571428571428,
2025-09-30,rolling_mean_28,28,0.8877551020408162,1.1013674246506624,0.4999999999999997,
2025-09-30,seasonal_naive_7,14,1.4285714285714286,1.889822365046136,-0.14285714285714285,
2025-09-30,seasonal_naive_7,28,1.5357142857142858,1.9730324738475904,-0.03571428571428571,
