universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
Championship game dates,2013-06-06,NBA Finals,1,0,6,2.8333333333333335,-2.8333333333333335
Championship game dates,2013-06-09,NBA Finals,1,6,7,5.285714285714286,0.7142857142857144
Championship game dates,2013-06-11,NBA Finals,1,1,7,3.2857142857142856,-2.2857142857142856
Championship game dates,2013-06-13,NBA Finals,1,2,6,2.6666666666666665,-0.6666666666666665
Championship game dates,2013-06-16,NBA Finals,1,8,7,5.571428571428571,2.428571428571429
Championship game dates,2013-06-18,NBA Finals,1,1,7,3.142857142857143,-2.142857142857143
Championship game dates,2013-06-20,NBA Finals,1,0,6,2.3333333333333335,-2.3333333333333335
Championship game dates,2013-10-23,World Series,1,4,7,1.7142857142857142,2.2857142857142856
Championship game dates,2013-10-24,World Series,1,2,8,3.0,-1.0
Championship game dates,2013-10-26,World Series,1,4,8,4.25,-0.25
Championship game dates,2013-10-27,World Series,1,4,8,3.5,0.5
Championship game dates,2013-10-28,World Series,1,3,8,2.0,1.0
Championship game dates,2013-10-30,World Series,1,3,7,1.4285714285714286,1.5714285714285714
Championship game dates,2014-02-02,Super Bowl,1,1,8,2.125,-1.125
Championship game dates,2014-06-05,NBA Finals,1,1,7,2.4285714285714284,-1.4285714285714284
Championship game dates,2014-06-08,NBA Finals,1,6,7,7.857142857142857,-1.8571428571428568
Championship game dates,2014-06-10,NBA Finals,1,2,8,3.75,-1.75
Championship game dates,2014-06-12,NBA Finals,1,2,7,2.2857142857142856,-0.2857142857142856
Championship game dates,2014-06-15,NBA Finals,1,7,7,7.857142857142857,-0.8571428571428568
Championship game dates,2014-10-21,World Series,1,0,7,1.7142857142857142,-1.7142857142857142
Championship game dates,2014-10-22,World Series,1,3,7,3.4285714285714284,-0.4285714285714284
Championship game dates,2014-10-24,World Series,1,2,8,4.625,-2.625
Championship game dates,2014-10-25,World Series,1,2,8,4.625,-2.625
Championship game dates,2014-10-26,World Series,1,2,8,3.5,-1.5
Championship game dates,2014-10-28,World Series,1,3,7,1.5714285714285714,1.4285714285714286
Championship game dates,2014-10-29,World Series,1,5,7,4.142857142857143,0.8571428571428568
Championship game dates,2015-02-01,Super Bowl,1,7,8,3.375,3.625
Championship game dates,2015-06-04,NBA Finals,1,1,7,3.4285714285714284,-2.4285714285714284
Championship game dates,2015-06-07,NBA Finals,1,3,7,4.571428571428571,-1.5714285714285712
Championship game dates,2015-06-09,NBA Finals,1,9,7,3.4285714285714284,5.571428571428571
Championship game dates,2015-06-11,NBA Finals,1,3,7,2.857142857142857,0.1428571428571428
Championship game dates,2015-06-14,NBA Finals,1,4,7,4.571428571428571,-0.5714285714285712
Championship game dates,2015-06-16,NBA Finals,1,0,7,3.142857142857143,-3.142857142857143
Championship game dates,2015-10-27,World Series,1,2,8,2.0,0.0
Championship game dates,2015-10-28,World Series,1,2,8,2.375,-0.375
Championship game dates,2015-10-30,World Series,1,2,8,2.375,-0.375
Championship game dates,2015-10-31,World Series,1,8,8,3.0,5.0
Championship game dates,2015-11-01,World Series,1,5,8,3.5,1.5
Championship game dates,2016-02-07,Super Bowl,1,0,8,1.375,-1.375
Championship game dates,2016-06-02,NBA Finals,1,0,7,2.7142857142857144,-2.7142857142857144
Championship game dates,2016-06-05,NBA Finals,1,6,7,4.857142857142857,1.1428571428571432
Championship game dates,2016-06-08,NBA Finals,1,0,8,3.125,-3.125
Championship game dates,2016-06-10,NBA Finals,1,3,8,2.625,0.375
Championship game dates,2016-06-13,NBA Finals,1,4,8,3.625,0.375
Championship game dates,2016-06-16,NBA Finals,1,4,7,2.5714285714285716,1.4285714285714284
Championship game dates,2016-06-19,NBA Finals,1,3,7,5.0,-2.0
Championship game dates,2016-10-25,World Series,1,1,7,2.0,-1.0
Championship game dates,2016-10-26,World Series,1,1,7,3.142857142857143,-2.142857142857143
Championship game dates,2016-10-28,World Series,1,2,8,1.875,0.125
Championship game dates,2016-10-29,World Series,1,7,8,2.75,4.25
Championship game dates,2016-10-30,World Series,1,8,8,3.625,4.375
Championship game dates,2016-11-01,World Series,1,2,7,1.2857142857142858,0.7142857142857142
Championship game dates,2016-11-02,World Series,1,2,7,2.857142857142857,-0.8571428571428572
Championship game dates,2017-02-05,Super Bowl,1,2,8,1.625,0.375
Championship game dates,2017-06-01,NBA Finals,1,3,8,1.375,1.625
Championship game dates,2017-06-04,NBA Finals,1,3,8,3.625,-0.625
Championship game dates,2017-06-07,NBA Finals,1,2,8,2.75,-0.75
Championship game dates,2017-06-09,NBA Finals,1,4,8,3.25,0.75
Championship game dates,2017-06-12,NBA Finals,1,0,8,1.5,-1.5
Championship game dates,2017-10-24,World Series,1,2,7,3.142857142857143,-1.1428571428571428
Championship game dates,2017-10-25,World Series,1,5,7,1.1428571428571428,3.857142857142857
Championship game dates,2017-10-27,World Series,1,3,8,2.875,0.125
Championship game dates,2017-10-28,World Series,1,2,8,2.5,-0.5
Championship game dates,2017-10-29,World Series,1,3,8,1.875,1.125
Championship game dates,2017-10-31,World Series,1,2,7,2.5714285714285716,-0.5714285714285716
Championship game dates,2017-11-01,World Series,1,2,7,1.0,1.0
Championship game dates,2018-02-04,Super Bowl,1,1,8,1.625,-0.625
Championship game dates,2018-05-31,NBA Finals,1,0,8,2.25,-2.25
Championship game dates,2018-06-03,NBA Finals,1,2,8,3.625,-1.625
Championship game dates,2018-06-06,NBA Finals,1,1,8,1.75,-0.75
Championship game dates,2018-06-08,NBA Finals,1,2,8,1.75,0.25
Championship game dates,2018-10-23,World Series,1,4,8,1.125,2.875
Championship game dates,2018-10-24,World Series,1,1,8,2.625,-1.625
Championship game dates,2018-10-26,World Series,1,3,8,2.125,0.875
Championship game dates,2018-10-27,World Series,1,0,8,1.75,-1.75
Championship game dates,2018-10-28,World Series,1,3,8,2.0,1.0
Championship game dates,2019-02-03,Super Bowl,1,2,8,2.0,0.0
Championship game dates,2019-05-30,NBA Finals,1,2,7,2.857142857142857,-0.8571428571428572
Championship game dates,2019-06-02,NBA Finals,1,2,8,2.875,-0.875
Championship game dates,2019-06-05,NBA Finals,1,2,8,1.75,0.25
Championship game dates,2019-06-07,NBA Finals,1,5,8,3.375,1.625
Championship game dates,2019-06-10,NBA Finals,1,2,8,2.5,-0.5
Championship game dates,2019-06-13,NBA Finals,1,2,7,2.7142857142857144,-0.7142857142857144
Championship game dates,2019-10-22,World Series,1,1,7,1.4285714285714286,-0.4285714285714286
Championship game dates,2019-10-23,World Series,1,2,7,2.0,0.0
Championship game dates,2019-10-25,World Series,1,3,8,1.5,1.5
Championship game dates,2019-10-26,World Series,1,4,8,2.125,1.875
Championship game dates,2019-10-27,World Series,1,3,8,2.375,0.625
Championship game dates,2019-10-29,World Series,1,2,7,1.0,1.0
Championship game dates,2019-10-30,World Series,1,1,7,2.5714285714285716,-1.5714285714285716
Championship game dates,2020-02-02,Super Bowl,1,2,8,2.0,0.0
Championship game dates,2020-09-30,NBA Finals,1,5,7,4.714285714285714,0.2857142857142856
Championship game dates,2020-10-02,NBA Finals,1,2,6,3.6666666666666665,-1.6666666666666665
Championship game dates,2020-10-04,NBA Finals,1,1,6,6.0,-5.0
Championship game dates,2020-10-06,NBA Finals,1,7,6,3.8333333333333335,3.1666666666666665
Championship game dates,2020-10-09,NBA Finals,1,4,6,3.1666666666666665,0.8333333333333335
Championship game dates,2020-10-11,NBA Finals,1,7,6,5.333333333333333,1.666666666666667
Championship game dates,2020-10-20,World Series,1,5,6,3.0,2.0
Championship game dates,2020-10-21,World Series,1,6,7,3.857142857142857,2.142857142857143
Championship game dates,2020-10-23,World Series,1,6,6,2.8333333333333335,3.1666666666666665
Championship game dates,2020-10-24,World Series,1,6,8,4.875,1.125
Championship game dates,2020-10-25,World Series,1,4,6,5.666666666666667,-1.666666666666667
Championship game dates,2020-10-27,World Series,1,3,6,3.1666666666666665,-0.16666666666666652
Championship game dates,2021-02-07,Super Bowl,1,3,8,3.25,-0.25
Championship game dates,2021-07-06,NBA Finals,1,5,7,4.857142857142857,0.14285714285714324
Championship game dates,2021-07-08,NBA Finals,1,4,8,4.375,-0.375
Championship game dates,2021-07-11,NBA Finals,1,9,8,6.375,2.625
Championship game dates,2021-07-14,NBA Finals,1,5,8,5.125,-0.125
Championship game dates,2021-07-17,NBA Finals,1,4,8,5.75,-1.75
Championship game dates,2021-07-20,NBA Finals,1,4,7,4.714285714285714,-0.7142857142857144
Championship game dates,2021-10-26,World Series,1,1,7,3.7142857142857144,-2.7142857142857144
Championship game dates,2021-10-27,World Series,1,2,8,3.375,-1.375
Championship game dates,2021-10-29,World Series,1,0,8,4.25,-4.25
Championship game dates,2021-10-30,World Series,1,3,8,4.375,-1.375
Championship game dates,2021-10-31,World Series,1,9,8,4.625,4.375
Championship game dates,2021-11-02,World Series,1,2,7,3.0,-1.0
Championship game dates,2022-02-13,Super Bowl,1,3,8,4.125,-1.125
Championship game dates,2022-06-02,NBA Finals,1,4,7,3.2857142857142856,0.7142857142857144
Championship game dates,2022-06-05,NBA Finals,1,6,8,4.625,1.375
Championship game dates,2022-06-08,NBA Finals,1,5,8,3.375,1.625
Championship game dates,2022-06-10,NBA Finals,1,2,8,3.875,-1.875
Championship game dates,2022-06-13,NBA Finals,1,4,8,6.75,-2.75
Championship game dates,2022-06-16,NBA Finals,1,10,7,3.2857142857142856,6.714285714285714
Championship game dates,2022-10-28,World Series,1,3,8,2.5,0.5
Championship game dates,2022-10-29,World Series,1,1,7,3.142857142857143,-2.142857142857143
Championship game dates,2022-10-31,World Series,1,4,8,2.625,1.375
